iter	MultiClass
0	1.008559349
1	0.9095001538
2	0.8264382247
3	0.7564212803
4	0.6950569211
5	0.6502914597
6	0.6090947707
7	0.5683154347
8	0.5270601533
9	0.4996738847
10	0.4717708149
11	0.4469136977
12	0.4196087847
13	0.4002124571
14	0.3771951054
15	0.3583204641
16	0.3401362207
17	0.326027209
18	0.3120625122
19	0.2997856868
20	0.2879755959
21	0.2765333531
22	0.2672084049
23	0.2601576373
24	0.2499388293
25	0.2399384249
26	0.2316694027
27	0.2254602908
28	0.2197981799
29	0.2136294541
30	0.2072893389
31	0.1992382896
32	0.1935068072
33	0.1882452908
34	0.1825435957
35	0.1788906119
36	0.1732419357
37	0.1696473007
38	0.1661340251
39	0.1618156969
40	0.157514697
41	0.1534506071
42	0.1502575355
43	0.1482263714
44	0.14553812
45	0.1427389
46	0.1397623112
47	0.1364756592
48	0.1337682824
49	0.1322018628
50	0.1291435341
51	0.1267110844
52	0.1245499296
53	0.1222728639
54	0.1194862228
55	0.1170907775
56	0.1155482927
57	0.1136225046
58	0.1106312108
59	0.1089387816
60	0.1074370706
61	0.1052817022
62	0.1031251433
63	0.1014413891
64	0.09908647737
65	0.09784019178
66	0.09568414799
67	0.09406846304
68	0.09236469646
69	0.09058288867
70	0.08934997516
71	0.08731903955
72	0.08585074484
73	0.08457338127
74	0.08343068824
75	0.08172844966
76	0.07996427845
77	0.07886260373
78	0.07716876554
79	0.0761143126
80	0.07455890518
81	0.07277345798
82	0.07200359988
83	0.07066921884
84	0.06962775828
85	0.06874775573
86	0.06745846292
87	0.06601927143
88	0.06539522515
89	0.06464956653
90	0.06348090878
91	0.06233861568
92	0.06152689486
93	0.06079178728
94	0.0601520887
95	0.05957788149
96	0.05891032833
97	0.0581903738
98	0.0574785619
99	0.05689925416
